,method,bias,rmse,estimate,ci_cov,power,n,sig_u,ba,aw,bw,mis
27.7,SIMEX,-0.818741741,0.818741741,0.991812583,91,100,1000,0.25,1,0.5,0.5,out-mis
28.1,CV,-0.137261524,0.137261524,0.998627385,86.49193548,100,1000,0.5,1,0.5,0.5,out-mis
28.2,IV,0.57329129,0.57329129,1.005732913,94.6,99.6,1000,0.5,1,0.5,0.5,out-mis
28.3,Ideal,-0.021884067,0.021884067,0.999781159,91.8,100,1000,0.5,1,0.5,0.5,out-mis
28.4,MIME,-4.906185336,4.906185336,0.950938147,87,100,1000,0.5,1,0.5,0.5,out-mis
28.5,Naive,-19.04787424,19.04787424,0.809521258,0.4,100,1000,0.5,1,0.5,0.5,out-mis
28.6,RC,0.267647208,0.267647208,1.002676472,97.2,100,1000,0.5,1,0.5,0.5,out-mis
28.7,SIMEX,-5.367850609,5.367850609,0.946321494,68,100,1000,0.5,1,0.5,0.5,out-mis
29.1,CV,-0.08497129,0.08497129,0.999150287,88.95582329,100,1000,0.75,1,0.5,0.5,out-mis
29.2,IV,3.485150878,3.485150878,1.034851509,96.4,99.8,1000,0.75,1,0.5,0.5,out-mis
29.3,Ideal,-0.158497721,0.158497721,0.998415023,92.4,100,1000,0.75,1,0.5,0.5,out-mis
29.4,MIME,-7.913011358,7.913011358,0.920869886,76.2,100,1000,0.75,1,0.5,0.5,out-mis
29.5,Naive,-34.63683034,34.63683034,0.653631697,0,100,1000,0.75,1,0.5,0.5,out-mis
29.6,RC,0.367207053,0.367207053,1.003672071,98.2,100,1000,0.75,1,0.5,0.5,out-mis
29.7,SIMEX,-16.68007478,16.68007478,0.833199252,3.4,100,1000,0.75,1,0.5,0.5,out-mis
30.1,CV,-0.115337698,0.115337698,0.998846623,86.6,100,1000,0.9,1,0.5,0.5,out-mis
30.2,IV,1.647974063,1.647974063,1.016479741,96.6,99.4,1000,0.9,1,0.5,0.5,out-mis
30.3,Ideal,-0.119050856,0.119050856,0.998809491,91.8,100,1000,0.9,1,0.5,0.5,out-mis
30.4,MIME,-9.347200269,9.347200269,0.906527997,68.2,100,1000,0.9,1,0.5,0.5,out-mis
30.5,Naive,-43.31944545,43.31944545,0.566805545,0,100,1000,0.9,1,0.5,0.5,out-mis
30.6,RC,0.742324374,0.742324374,1.007423244,98.2,100,1000,0.9,1,0.5,0.5,out-mis
30.7,SIMEX,-25.08033249,25.08033249,0.749196675,0,100,1000,0.9,1,0.5,0.5,out-mis
