"","method","bias","mse","ATE","ci_cov","power","u","a","n","b","rho","psi","ax","bax","baz"
"25.6","SIMEX dir.",9.86784205392304,97.3743068011721,0.109867842053923,92,100,0.9,0.1,3000,1,0.1,0.5,0.25,0,0
"26.1","IV",3.77649496670533,14.2619142335507,0.103776494966705,92.8,100,0.1,0.1,3000,1,0.8,0.5,0.25,0,0
"26.2","Ideal",2.58694750595931,6.6922973985891,0.102586947505959,94,100,0.1,0.1,3000,1,0.8,0.5,0.25,0,0
"26.3","MIME",2.08739905892977,4.3572348312209,0.10208739905893,90.8,100,0.1,0.1,3000,1,0.8,0.5,0.25,0,0
"26.4","Naive",2.99075719829359,8.9446286191449,0.102990757198294,94.4,100,0.1,0.1,3000,1,0.8,0.5,0.25,0,0
"26.5","PSC",2.31072706009674,5.33945954626334,0.102310727060097,33.2,100,0.1,0.1,3000,1,0.8,0.5,0.25,0,0
"26.6","SIMEX dir.",-1.41236880917144,1.99478565312035,0.0985876311908286,94.8,100,0.1,0.1,3000,1,0.8,0.5,0.25,0,0
"27.1","IV",1.61717901758072,2.61526797490333,0.101617179017581,95.6,100,0.25,0.1,3000,1,0.8,0.5,0.25,0,0
"27.2","Ideal",0.380837100414742,0.145036897052308,0.100380837100415,95.2,100,0.25,0.1,3000,1,0.8,0.5,0.25,0,0
"27.3","MIME",0.13217746083066,0.0174708811516407,0.100132177460831,95.2,100,0.25,0.1,3000,1,0.8,0.5,0.25,0,0
"27.4","Naive",2.91397550530328,8.49125324550749,0.102913975505303,94,100,0.25,0.1,3000,1,0.8,0.5,0.25,0,0
"27.5","PSC",-0.410940227787021,0.168871870813649,0.099589059772213,29.2,99.6,0.25,0.1,3000,1,0.8,0.5,0.25,0,0
"27.6","SIMEX dir.",-4.2954381648864,18.4507890283627,0.0957045618351136,93.2,100,0.25,0.1,3000,1,0.8,0.5,0.25,0,0
"28.1","IV",1.5283537966021,2.33586532758807,0.101528353796602,96,100,0.5,0.1,3000,1,0.8,0.5,0.25,0,0
"28.2","Ideal",0.600761152956943,0.360913962902156,0.100600761152957,94.4,100,0.5,0.1,3000,1,0.8,0.5,0.25,0,0
"28.3","MIME",1.1155639601371,1.24448294915677,0.101115563960137,94,100,0.5,0.1,3000,1,0.8,0.5,0.25,0,0
"28.4","Naive",7.0777235215234,50.0941702471256,0.107077723521523,94.4,100,0.5,0.1,3000,1,0.8,0.5,0.25,0,0
"28.5","PSC",0.350844619376126,0.123091946945179,0.100350844619376,29.6,98.8,0.5,0.1,3000,1,0.8,0.5,0.25,0,0
"28.6","SIMEX dir.",1.3540420734904,1.83342993678219,0.10135404207349,95.6,100,0.5,0.1,3000,1,0.8,0.5,0.25,0,0
"29.1","IV",2.16482992534577,4.68648860567257,0.102164829925346,94,100,0.75,0.1,3000,1,0.8,0.5,0.25,0,0
"29.2","Ideal",0.508276068845245,0.258344562160777,0.100508276068845,94.8,99.6,0.75,0.1,3000,1,0.8,0.5,0.25,0,0
"29.3","MIME",1.05763423269194,1.11859017016187,0.101057634232692,92.8,99.6,0.75,0.1,3000,1,0.8,0.5,0.25,0,0
"29.4","Naive",10.8749812649878,118.265217513836,0.110874981264988,90.8,100,0.75,0.1,3000,1,0.8,0.5,0.25,0,0
"29.5","PSC",-0.350626987168864,0.122939284131114,0.0996493730128311,30.8,98.4,0.75,0.1,3000,1,0.8,0.5,0.25,0,0
"29.6","SIMEX dir.",6.84256483741527,46.8206935542318,0.106842564837415,91.6,100,0.75,0.1,3000,1,0.8,0.5,0.25,0,0
"30.1","IV",2.12430312491787,4.51266376653582,0.102124303124918,95.2,100,0.9,0.1,3000,1,0.8,0.5,0.25,0,0
"30.2","Ideal",0.987044612254119,0.974257066579885,0.100987044612254,95.6,100,0.9,0.1,3000,1,0.8,0.5,0.25,0,0
"30.3","MIME",0.868652507695447,0.754557179125588,0.100868652507695,93.6,100,0.9,0.1,3000,1,0.8,0.5,0.25,0,0
"30.4","Naive",12.0863221615661,146.079183393165,0.112086322161566,88.4,100,0.9,0.1,3000,1,0.8,0.5,0.25,0,0
"30.5","PSC",-1.13276721947452,1.28316157351604,0.0988672327805255,32.4,97.2,0.9,0.1,3000,1,0.8,0.5,0.25,0,0
"30.6","SIMEX dir.",8.951739987448,80.1336488028754,0.108951739987448,90.8,100,0.9,0.1,3000,1,0.8,0.5,0.25,0,0
"31.1","IV",2.26810906227642,5.14431871838044,0.102268109062276,96.8,100,0.1,0.1,3000,1,0.1,0.5,0.75,0,0
"31.2","Ideal",-0.606858564948716,0.368277317851615,0.0993931414350513,96.4,100,0.1,0.1,3000,1,0.1,0.5,0.75,0,0
"31.3","MIME",-4.39246252687768,19.2937270500247,0.0956075374731223,73.6,97.2,0.1,0.1,3000,1,0.1,0.5,0.75,0,0
"31.4","Naive",0.85177245424209,0.725516313805594,0.100851772454242,97.2,100,0.1,0.1,3000,1,0.1,0.5,0.75,0,0
"31.5","PSC",-1.12067828276664,1.25591981346479,0.0988793217172334,34.4,100,0.1,0.1,3000,1,0.1,0.5,0.75,0,0
"31.6","SIMEX dir.",-13.6350034885701,185.913320133318,0.0863649965114299,88.4,100,0.1,0.1,3000,1,0.1,0.5,0.75,0,0
"32.1","IV",1.86413909900956,3.47501458045616,0.10186413909901,93.6,99.2,0.25,0.1,3000,1,0.1,0.5,0.75,0,0
"32.2","Ideal",0.0635739632793748,0.0040416488070473,0.100063573963279,94.4,99.6,0.25,0.1,3000,1,0.1,0.5,0.75,0,0
"32.3","MIME",-0.811175026488063,0.65800492359791,0.0991888249735119,91.6,100,0.25,0.1,3000,1,0.1,0.5,0.75,0,0
"32.4","Naive",8.22161538156905,67.5949594824527,0.108221615381569,92.4,100,0.25,0.1,3000,1,0.1,0.5,0.75,0,0
"32.5","PSC",-2.72108759273779,7.40431768735155,0.0972789124072622,33.2,100,0.25,0.1,3000,1,0.1,0.5,0.75,0,0
"32.6","SIMEX dir.",-23.2280790188435,539.543654905637,0.0767719209811565,74.8,96.4,0.25,0.1,3000,1,0.1,0.5,0.75,0,0
"33.1","IV",-0.389015123140142,0.15133276603174,0.0996109848768599,94.4,99.6,0.5,0.1,3000,1,0.1,0.5,0.75,0,0
"33.2","Ideal",-1.34886826119854,1.81944558606878,0.0986511317388015,96.4,99.6,0.5,0.1,3000,1,0.1,0.5,0.75,0,0
"33.3","MIME",-2.78290895658579,7.74458226064541,0.0972170910434142,93.6,100,0.5,0.1,3000,1,0.1,0.5,0.75,0,0
"33.4","Naive",26.0748313424782,679.896829538683,0.126074831342478,73.6,100,0.5,0.1,3000,1,0.1,0.5,0.75,0,0
